EST1,EST2,EST3,SST1,SST2,SST3,BEQ1,BEQ2,BEQ3,BEQ4,BEQ5,BEQ6,BEQ7,BEQ8,BEQ9,BEQ10,RVL1,RVL2,RVL3,RVL4,RVL5,COR1,COR2,COR3,COR4,COR5,COR6,COR7,COR8,COR9,ICT1,ICT2,ICT3,ICT4,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10,SUS11,SUS12,SUS13,SUS14,SUS15,SUSA,SUSB,SUSC
6,5,5,7,6,7,5,5,5,4,2,5,7,4,4,4,7,6,6,5,6,6,6,5,6,6,7,5,5,7,5,5,6,6,5,4,6,5,5,5,2,6,7,5,5,6,5,6,6,-0.8983685549624059,0.15629981333621573,-0.8595778018503161
6,6,6,6,6,5,6,6,5,4,2,5,2,2,2,2,6,6,6,6,6,6,6,5,6,4,5,5,5,4,5,5,4,5,6,6,5,5,7,6,6,6,7,6,5,4,6,6,6,0.46822979124794917,-0.2558463315157823,-0.5699893294414762
7,7,6,6,7,7,7,5.212121212121212,7,4.026415094339622,6,6,4,4,4,4,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,4,4,7,6,7,6,7,6,6,7,7,7,7,7,7,7,7,7,1.0050252697135282,1.493852122895102,0.8619847303091158
6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7,7,7,7,6,6,6,6,5,5,6,6,7,6,6,6,7,6,6,5,7,7,7,0.36410725828637636,0.34495249891568014,0.8619847303091158
7,6,6,6,6,7,7,5,5,3,5,6,5,5,5,5,7,7,6,6,5,5,5,5,5,4,5,5,4,5,6,5,5,5,5,5,6,6,6,5,5,6,7,5,5,5,6,6,6,-0.08415032659280967,-0.16378249946377013,-0.5699893294414762
6,7,5,6,7,6,6,6,5,4,5,6,3,3,3,3,6,6,6,5,5,6,4,5,5,4,5,5,5,6,5,4,4,4,5,5,5,5,7,6,6,6,7,5,5,4,6,6,6,0.188701009442369,-0.483864812263756,-0.5699893294414762
6,5,4,6,7,6,7,6,5,4,6,5,6,6,6,6,7,6,6,5,5,6,6,7,5.8830188679245285,5,6,5,5,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,7,7,7,6,6,1.1084159960155988,1.493852122895102,-0.2804008570326363
6,6,6,7,6,6,7,6,1,1,5,5,2,2,2,2,7,7,1,1,6,7,7,7,7,7,7,7,7,7,5,5,4,6,5,5,6,6,6,6,6,7,7,6,6,6,6,6,6,0.3371974730596547,0.665034811715666,-0.5699893294414762
5,5,5,4,5,5,6,6,6,4,6,6,5,5,4,5,6,7,7,7,7,6,6,7,6,5,5,7,5,5,6,5,5,5,5,5,6,5,6,6,6,6,6,5,5,5.095057034220532,6.345864661654136,6,6.364661654135339,0.07381738133087155,-0.13335642410255488,-0.28228440852355413
6,6,6,6,6,6,6,6,5,5,6,5,4,4,4,4,6,7,6,6,5,6,6,5,6,4,5,5,5,4,6,5,5,6,6,6,6,5,7,7,7,7,7,7,5,5,6,6,6,0.9366649911645601,0.2922544620321773,-0.5699893294414762
7,6,3,3,7,7,4,4,4,4,4,5,4,4,4,4,7,6,5,6,6,6,6,5,6,6,5,6,6,6,6,5,5,5,4,5,5,4,5,5,5,7,6,7,6,6,6,7,5,-0.5663079173533762,0.8930532924636396,-0.45620929885341316
6,6,6,6,6,6,7,6,6,2,5,6,5,5,5,5,7,7,6,7,6,6,5,5,5,4,5,4,4,5,5,5,4,5,5,5,3,5,5,5,5,6,7,3,4,3,7,6,6,-0.5157024043407546,-1.5407006041911657,-0.2804008570326363
6,5.62406015037594,7,5.845864661654136,7,6,6,1,1,1,1,1,1,1,1,1,7,7,7,6,7,7,7,6,7,6,6,5.950943396226415,4,6,5,4,3,5,6,7,7,7,7,6,6,7,7,7,7,5.095057034220532,7,7,7,1.0821096057804895,0.8841135726563457,0.8619847303091158
4,4,4,4,4,4,3,3,3,3,7,3,3,3,4,4,7,7,7,7,7,6,6,7,7,5,6,7,6,6,7,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.5199188703940083,1.493852122895102,0.8619847303091158
6,6,6,6,6,7,6,7,5,3,5,6,5,5,5,5,6,6,5,6,4,6,5,5,5,4,5,5,4,6,4,4,4,5,4,5,6,5,5,5,5,6,7,5,5,4,6,6,6,-0.5259629116582913,-0.483864812263756,-0.5699893294414762
6,6,7,7,6,6,6,4,5,4,4,4,4,4,4,4,7,7,7,4,7,6,6,7,6,6,7,6,4,7,7,6,5,4,7,7,7,7,7,6,6,7,7,7,7,6,7,6,6,1.2336323138904666,1.1737698100951164,-0.2804008570326363
7,7,3,7,7,7,5,5,5,5,1,5,1,1,1,1,7,7,5,6,4,5,5,7,7,3,6,5,3,5,5,4,4,5,4,4,7,5,5,6,5,7,7,4,4,4,7,7,7,-0.3175078780101129,-0.9925998106432063,0.8619847303091158
6,5,5,5,5,6,7,7,6,4,5,5,5,5,5,5,7,7,7,7,6,6,6,4,6,5,6,5,5,5,6,5,5,6,6,6,6,6,6,6,6,6,7,5,5,4,7,7,7,0.4816650117163124,-0.483864812263756,0.8619847303091158
6,6,6,6,6,6,7,6,6,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,0.4816650117163124,0.665034811715666,0.8619847303091158
7,7,7,7,7,7,7,6,6,4,5,6,6,6,6,6,7,7,7,6,6,6,5,5,6,6,6,6,6,6,6,5,5,6,5,6,6,6,6,5,5,7,7,5,5,5,7,7,7,0.1789169902517161,-0.16378249946377013,0.8619847303091158
5,5,6,7,6,6,6,6,6,5,4,5,5,5,5,5,6,6,6,6,6,6,5,5,6,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,6,7,5,4,4,6,6,6,-0.4215276038124612,-0.7645813298952326,-0.5699893294414762
7,6,6,6,6,6,7,5,5,4,5,6,6,6,6,6,7,7,7,7,6,6,6,6,6,5,6,5,5,5,3,3,4,5,6,6,6,6,6,6,6,7,7,5,5,5,6,6,6,0.6167262548652348,-0.16378249946377013,-0.5699893294414762
6,6,7,6,7,7,7,5.212121212121212,7,4.026415094339622,6,5.169172932330827,4.556818181818182,4,4,4,7,6.657894736842105,7,6.2377358490566035,7,5.780769230769231,5.726923076923077,7,5.8830188679245285,6,3,5.950943396226415,5.393258426966292,6,6,4,4,4,7,5.306818181818182,7,7,1,5.20532319391635,5.1722846441947565,7,7,7,7,5,5,5,5,-0.1867969319279863,0.8536874972951305,-2.0019633891920683
5,5,5,5,5,5,4,4,4,6,4,5,4,5,5,5,7,7,7,7,7,6,6,5,7,7,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.4816650117163124,0.665034811715666,-0.5699893294414762
4,6,4,6,6,6,6,5,5,3,5,5,3,3,3,3,6,6,5,6,5,6,6,4,6,5,5,5,5,5,3,3,4,5,6,6,6,6,6,5,5,5,7,5,5,5,7,6,6,0.06031721206384802,-0.16378249946377013,-0.2804008570326363
6,6,7,7,7,7,4,6,6,7,6,4,6,6,6,6,7,7,7,7,7,5.780769230769231,7,7,7,5.3745318352059925,7,6,4,6,6,4.4393939393939394,4,7,7,5.306818181818182,7,5.725563909774436,7,5.20532319391635,7,6.161654135338346,7,7,7,7,7,7,7,0.7494781075333765,1.493852122895102,0.8619847303091158
7,7,7,7,7,7,5,5,5,5,4,5,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,4,3,3,6,5,3,3,2,6,5,3,2,6,6,6,-1.907736496864851,-1.6854624731266807,-0.5699893294414762
5,6,6,6,6,6,6,6,6,4,5,6,2,2,2,2,6,6,6,7,5,6,5,5,6,4,5,5,5,5,7,5,4,6,6,6,6,6,6,6,6,6,7,5,5,5,6,6,6,0.4816650117163124,-0.16378249946377013,-0.5699893294414762
6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.4816650117163124,0.665034811715666,-0.5699893294414762
6,6,6,6,6,6,7,5,5,3,5,6,5,5,5,5,6,6,6,6,5,6,4,5,6,4,5,5,4,5,4,3,3,5,3,4,5,5,6,5,2,6,7,4,4,4,6,6,6,-1.0865303430708622,-0.9925998106432063,-0.5699893294414762
7,6,4,4,6,6,6,6,5,1,2,7,2,2,1,1,7,7,7,7,7,6,6,5,5,7,6,7,5,6,5,5,5,6,6,6,7,6,3,3,1,6,7,5,5,5,7,7,7,-1.0799685278027575,-0.16378249946377013,0.8619847303091158
6,6,6,6,6,6,6,5,5,3,3,5,5,5,5,5,6,6,6,6,6,3,4,4,4,4,5,5,4,5,4,3,4,5,5,5,7,7,7,5,4,6,7,5,5,4,5,7,5,0.12125285805401244,-0.483864812263756,-0.745797771262253
7,6,4,3,3,3,6,5,5,1,2,7,2,2,1,1,7,7,7,7,7,6,6,5,5,7,5,7,6,7,4,4,4,5,6,6,7,6,3,3,1,6,7,5,5,3,7,7,7,-1.0799685278027575,-0.8039471250637418,0.8619847303091158
6,6,7,7,6,6,6,5,5,3,4,6,5,5,5,5,7,6,6,6,5,6,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,7,5,6,6,7,5,5,5,6,7,6,0.0343885455116565,-0.16378249946377013,0.05809347952343144
6,6,7,7,6,5,7,6,5,2,3,5,2,2,2,2,7,7,7,6,6,6,5,5,5,4,6,6,5,6,6,5,5,7,6,6,6,6,6,6,6,7,7,5,5,5,7,7,7,0.6167262548652348,-0.16378249946377013,0.8619847303091158
6,6,4,5,5,5,6,5,5,1,2,7,2,2,1,1,7,7,7,7,7,6,6,5,5,7,5,7,6,7,4,4,4,5,6,6,7,3,3,1,6,7,5,5,3,3,7,7,7,-0.9786182953906952,-1.3653801603266948,0.8619847303091158
5,5,5,5,5,5,7,6,6,4,5,6,5,5,5,5,7,6,6,6,4,5,5,5,5,4,5,5,4,4,2,3,4,5,5,5,5,5,5,5,5,5,7,4,4,4,6,6,6,-0.5565888469613837,-0.9925998106432063,-0.5699893294414762
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,6,7,6,6,5,5,5,7,4,4,4,4,4,4,4,6,6,6,6,6,7,7,7,-1.3247202193412346,0.665034811715666,0.8619847303091158
6,6,6,6,6,6,7,6,6,4,4,5,3,3,3,3,7,7,7,6,6,3,4,4,5,4,5,5,4,5,3,3,4,5,5,5,5,5,5,5,5,5,7,4,4,4,7,7,7,-0.5565888469613837,-0.9925998106432063,0.8619847303091158
6,6,5,5,5,5,6,5,5,2,3,5,3,3,3,3,7,6,6,6,6,4,5,6,6,5,6,6,4,5,4,3,4,4,4,4,6,5,2,2,2,5,5,4,4,4,5,5,5,-2.133802983140375,-0.9925998106432063,-2.0019633891920683
6,6,6,6,6,6,5,5,6,5,5,6,6,5,6,5,6,6,6,6,6,6,6,4,6,7,7,7,4,7,5,5,5,5,4,4,4,4,4,5,5,6,6,5,4,4,5,5,5,-1.038433662837693,-0.7645813298952326,-2.0019633891920683
6,6,6,6,6,7,5,6,6,4,4,6,4,4,4,4,6,6,6,6,5,5,5,5,5,4,5,5,4,4,4,3,4,5,5,6,6,6,6,5,5,7,7,5,5,5,7,7,7,0.1789169902517161,-0.16378249946377013,0.8619847303091158
5,5,5,4,5,5,7,6,7,7,6,7,4,5,4,5,7,6,6,7,7,6,6,6,6,6,7,7,5,6,5,5,4,6,7,7,7,7,7,7,7,7,7,5,5,5,7,7,7,1.5199188703940083,-0.16378249946377013,0.8619847303091158
4,4,4,4,4,4,7,5,5,2,4,5,4,4,4,4,7,7,6,6,6,6,5,5,6,4,6,6,5,6,4,3,3,5,4,4,5,5,5,4,4,7,7,4,4,4,7,7,7,-0.8522816989726607,-0.9925998106432063,0.8619847303091158
7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,6,7,6,7,7,5,6,5,7,7,7,7,7,7,7,7,0.6497100908707456,1.493852122895102,0.8619847303091158
7,7,5,7,5,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,6,5,7,5,6,5,7,5,4,4,4,5,5,6,6,5,5,5,7,7,7,7,4,6,4,5,-0.11106011181953133,0.5336051844951446,-2.340457725748136
7,7,7,7,7,7,7,3,4,2,4,5,3,3,3,3,7,7,6,7,6,6,4,5,5,3,6,5,4,5,3,3,3,5,4,4,5,5,3,3,3,7,7,4,5,4,7,7,7,-1.462510312227491,-0.7118832930117298,0.8619847303091158
2,4,2,5.845864661654136,5,4,7,5,4,4,1,1,4.556818181818182,6,6,6,7,6.657894736842105,6,7,6.205992509363296,6,5.726923076923077,7,7,6,7,5,6,5.885496183206107,6,4.4393939393939394,4.481060606060606,5.5437262357414445,5,5.306818181818182,5.8528301886792455,5,5,5.20532319391635,6,6,6,5,5.1992481203007515,5.095057034220532,7,7,7,-0.1784374360396198,-0.07742418562711044,0.8619847303091158
6,5,6,3,7,7,7,5,4,4,4,4,4,5,2,2,7,7,7,7,3,5,5,7,5,4,4,5,1,1,1,1,1,1,2,2,6,5,6,3,2,1,1,1,1,2,7,7,7,-2.4309089419139362,-3.158969431381529,0.8619847303091158
6,6,6,6,6,6,7,6,5,4,6,6,6,6,6,6,7,7,7,7,7,6,5,6,6,5,6,6,6,5,5,5,5,6,5,5,5,5,5,5,5,7,7,5,5,5,7,7,7,-0.2864663606635387,-0.16378249946377013,0.8619847303091158
7,7,7,7,7,7,7,7,7,7,6,7,7,5,7,6,7,7,7,6,7,7,7,7,7,4,7,6,6,6,5,6,6,6,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,1.214083698353319,1.493852122895102,0.8619847303091158
7,6,6,4,5,5,5,5,5,5,4,5,5,5,4,5,7,7,7,7,7,7,5.726923076923077,5,5,7,7,7,7,7,5,5,4,6,7,7,6,6,6,6,5,7,7,7,6,6,6,6,6,0.7642809440979857,0.8930532924636396,-0.5699893294414762
5,5,5,5,5,5,7,6,6,3,5,6,5,5,5,5,7,7,7,6,5,6,5,5,6,4,6,6,4,5,5,3,4,5,6,6,6,6,6,6,6,7,7,4,4,4,7,7,7,0.6167262548652348,-0.9925998106432063,0.8619847303091158
7,6,4,3,6,6,6,5,5,1,2,7,2,2,1,1,7,7,7,7,7,5,6,6,5,7,6,7,6,7,5,5,5,6,6,6,7,6,3,3,1,6,7,5,5,3,7,7,7,-1.0799685278027575,-0.8039471250637418,0.8619847303091158
6,6,6,6,6,6,6,6,6,4,5,6,3,3,3,3,6,6,6,6,5,6,5,5,6,4,5,5,5,5,7,5,4,6,6,6,6,6,6,6,6,6,7,5,5,5,6,6,6,0.4816650117163124,-0.16378249946377013,-0.5699893294414762
7,7,7,7,7,7,7,6,5,4,4,7,7,7,6,6,7,7,7,6,7,5.780769230769231,7,7,7,7,7,7,6,7,6,4,4,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,1.365606406463296,1.493852122895102,0.8619847303091158
5,6,5,5,5,5,5,5,5,4,4,4,4,6,4.535580524344569,4.543396226415094,7,7,7,7,7,7,6,7,6,6,6,7,6,7,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.4816650117163124,0.665034811715666,-0.5699893294414762
6,6,6,6,6,7,7,2,2,2,4,5,3,3,3,3,7,7,7,7,6,6,6,6,6,4,7,6,5,5,5,5,5,6,5,5,5,5,5,5,5,6,7,4,4,4,7,7,7,-0.4215276038124612,-0.9925998106432063,0.8619847303091158
7,6,7,7,7,7,7,4,7,7,6,6,6,7,7,7,7,6,6,6,6,7,7,7,7,6,6,6,6,7,5,5,5,5,5,5,7,7,7,5.20532319391635,1,7,7,7,7,7,6,7,5,-0.10792424856019779,1.493852122895102,-0.45620929885341316
4,4,5,5,5,5,3,3,4,5,4,5,4,6,6,6,7,7,7,7,7,5,5,5,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,7,5,5,4,6,6,6,0.4816650117163124,-0.483864812263756,-0.5699893294414762
5.513207547169811,4,6,4,4,4,5,5,5,5,4,5,5,4,4,4,7,7,7,7,7,6,6,5,5,6,6,5,5,5,5,4,5,5,4,4,4,4,3,6,5,6,7,5,6,6,7,6,7,-1.0460922272826245,0.43701633096769227,0.23390192134420823
4,4,4,3,3,3,6,4,4,4,4,5,4,4,4,4,6,6,6,6,6,5,3,3,4,3,5,5,5,4,4,2,4,5,2,3,5,5,5,3,4,6,7,4,4,4,6,7,6,-1.5727068959678525,-0.9925998106432063,0.05809347952343144
4,4,4,3,3,3,7,7,6,7,6,7,5,6,6,6,7,6,7,6,7,6,6,6,6,6,6,6,6,6,7,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,6,7,7,-0.4246147543885543,0.665034811715666,0.5723962579002759
5,5,5,5,5,5,7,6,5,3,5,6,5,5,5,5,6,6,6,6,5,5,5,3,5,4,6,6,6,6,4,4,4,5,4,4,5,5,5,4,4,5,7,3,3,3,7,7,7,-1.1224041852705056,-1.8214171218226423,0.8619847303091158
5,6,6,6,5,5,7,4,4,4,3,6,5,4,4,4,6,6,7,7,7,5,5,5,5,5,6.093984962406015,5,5,5,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,-1.199488521337467,-0.16378249946377013,-2.0019633891920683
6,6,6,6,6,6,7,6,5,2,5,5,5,5,5,5,7,7,6,6,6,6,4,4,6,5,6,6,6,6,4,3,4,5,5,4,5,5,6,4,4,7,7,6,6,6,7,7,7,-0.5387879624870396,0.665034811715666,0.8619847303091158
7,7,7,7,7,7,7,6,6,2,2,7,4,4,4,4,7,7,7,5,5,3,4,3,4,4,7,6,6,4,4,3,4,5,7,6,6,6,7,5,6,7,7,6,6,5,6,6,6,0.7759075274201434,0.34495249891568014,-0.5699893294414762
6,6,6,6,6,6,7,6,5,3,5,6,6,6,6,6,7,7,7,7,7,6,5.726923076923077,6,5,4,6,6,5,6,5,4,4,6,6,6,6,6,6,6,6,7,7,5,5,5,7,7,7,0.6167262548652348,-0.16378249946377013,0.8619847303091158
6,6,7,6,6,6,5,5,6,6,6,6,4,3,4,4,6,6,5,5,6,6,6,6,5,6,7,6,6,5,4,4,4,5,5,5,6,6,6,5,5,6,7,5,4,4,6,7,6,-0.08415032659280967,-0.7645813298952326,0.05809347952343144
5,4,6,6,6,5,6,5,5,2,3,5,3,3,3,3,7,7,6,5,6,5,5,5,5,3,5,5,5,5,3,2,4,5,3,3,5,5,5,2,3,5,7,5,5,4,7,7,7,-1.84253198751034,-0.483864812263756,0.8619847303091158
7,6,3,6,7,6,6,6,4,4,5,5,5,5,5,5,7,6,5,4,7,3,5,5,5,6,6,6,5,7,3,1,3,4,7,6,6,6,5,5,5,5,6,4,5,4,6,5,6,0.04986889179818074,-0.7118832930117298,-1.1980721384063837
6,6,5,5,5,5,5,5,5,5,5,4,5,5,5,5,6,6,6,6,6,6,5,5,6,6,6,5,5,5,5,5,3,6,4,4,5,5,5,5,5,6,7,6,6,5,6,6,6,-0.7010563856180412,0.34495249891568014,-0.5699893294414762
2,2,2,2,2,2,5,2,2,2,2,2,3,3,3,3,7,7,7,7,7,3,6,6,5,4,6,6,5,6,3,3,4,5,3,4,5,5,5,3,4,7,7,4,4,4,7,7,7,-1.15811687101335,-0.9925998106432063,0.8619847303091158
4,5,3,3,2,1,5,1,2,2,2,1,3,2,6,3,7,7,6,7,7,7,5,4,6,6,6,6,6,6,5,3,4,5,6,6,6,6,6,4,5,5,7,6,5,6,7,7,7,-0.09399525186686446,0.3843182940841895,0.8619847303091158
5,5,5,5,5,5,7,6,5,3,5,5,5,5,5,5,6,6,6,6,5,3,2,2,4,3,5,5,4,4,3,2,2,4,6,6,6,6,6,4,4,7,7,5,4,4,7,7,6,0.044153141858151126,-0.7645813298952326,0.34768195193227125
6,6,6,6,6,6,6,5,5,2,4,5,5,5,5,5,6,6,6,4,4,5,4,3,5,4,5,5,4,5,5,4,4,5,4,4,5,5,5,4,4,6,7,4,4,4,6,7,6,-0.9873429421215831,-0.9925998106432063,0.05809347952343144
4,4,4,4,4,4,6,5,5,2,4,5,6,6,6,6,6,5,6,4,4,4,4,3,4,4,5,4,4,4,3,3,4,5,3,3,5,5,5,3,3,6,7,3,3,3,6,6,6,-1.5531582804307051,-1.8214171218226423,-0.5699893294414762
3,3,5,5,3,3,6,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,6,6,7,7,7,7,6,6,6,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,0.1953784552127705,0.665034811715666,-0.5699893294414762
2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,7,7,7,7,6,3,4,3,4,4,6,6,4,5,4,2,3,5,3,3,5,5,5,4,3,5,7,3,3,3,7,7,7,-1.533907059648915,-1.8214171218226423,0.8619847303091158
4,4,3,7,6,6,5,6,5,5,4,4,4,4,4,4,5,5,6,5,7,6,6,7,6,6,6,6,5,6,5,4,6,6,6,6,6,6,5,6,6,6,6,5,5,5,7,7,7,0.31969398334066823,-0.16378249946377013,0.8619847303091158
5,7,5,7,6,6,6,6,5,7,4.370786516853933,7,2,5,5,5,7,6,6,7,7,7,7,7,6,5,6,7,6,7,5,5,5,5,7,7,7,7,7,7,7,6,6,6,6,7,7,7,6,1.3848576272450859,0.9851171245156518,0.34768195193227125
6,6,6,6,6,6,6,6,6,3,5,6,5,5,5,5,6,7,6,7,6,6,5,5,5,4,6,4,5,5,4,3,4,3,6,6,6,6,6,6,6,6,7,5,5,5,6,7,6,0.4816650117163124,-0.16378249946377013,0.05809347952343144
4,4,4,3,4,4,6,4,4,1,2,4,4,4,4,4,7,7,7,6,6,6,5,5,6,4,6,4,5,4,6,5,4,6,4,5,6,6,6,5,5,7,7,5,5,5,6,7,6,-0.10061179155386411,-0.16378249946377013,0.05809347952343144
5,4,5,5,5,5.537593984962406,5,5,4,4,5,5.169172932330827,4,5,5,5,7,6,6,6,7,6,6,6,5,5,6,6,5,6,4,4,3,3,5,5,6,5,5,5,5,6,7,5,4,4,7,6,6,-0.3744402035483145,-0.7645813298952326,-0.2804008570326363
6,6,6,6,6,6,7,6,6,4,5,6,5,5,5,5,7,6,7,6,5,5,5,5,5,4,5,5,4,4,3,3,5,6,4,5,6,6,6,4,5,7,7,5,5,5,6,7,6,-0.2549242554845766,-0.16378249946377013,0.05809347952343144
5,5,5,5,5,5,7,6,4,4,4,5,4,4,3,3,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,4,4,5,4,4,5,5,5,4,4,5,7,3,3,3,5,6,5,-1.1224041852705056,-1.8214171218226423,-1.3738805802271608
